CellID,SpotID,CellType
V367,S216,Sic17ab
V368,S3970,Cajal Retzius
V369,S4347,Cajal Retzius
V370,S1494,Ependyma
V371,S613,Microglia
V372,S2807,Neurogenesis
V373,S3356,Cajal Retzius
V374,S1963,Neurogenesis
V375,S624,Neurogenesis
V376,S2770,Polydendrocyte
V377,S1082,Microglia
V378,S227,Cajal Retzius
V379,S2451,Cajal Retzius
V380,S272,Cajal Retzius
V381,S1347,Endothelial
V382,S3531,Cajal Retzius
V383,S3907,Sic17ab
V384,S879,Fibroblast
V385,S3833,Cajal Retzius
V386,S1384,Cajal Retzius
V387,S4010,Cajal Retzius
V388,S203,Dentate
V389,S629,Astrocyte
V390,S3146,Ependyma
V391,S2688,Neurogenesis
V392,S3951,Choroid
V393,S3984,Dentate
V394,S4235,Fibroblast
V395,S755,Cajal Retzius
V396,S3243,Cajal Retzius
V397,S452,Sic17ab
V398,S2252,Neurogenesis
V399,S1205,Cajal Retzius
V400,S605,Microglia
V401,S2924,Microglia
V402,S4139,Ependyma
V403,S824,Microglia
V404,S4076,Astrocyte
V405,S4498,Astrocyte
V406,S1962,Cajal Retzius
V407,S3164,Dentate
V408,S3257,Polydendrocyte
V409,S916,Cajal Retzius
V410,S593,Entorhinal
V411,S3461,Entorhinal
V412,S1588,Cajal Retzius
V413,S3465,Neurogenesis
V414,S2444,Dentate
V415,S2946,Ependyma
V416,S2455,Cajal Retzius
V417,S3150,Neurogenesis
V418,S2915,Oligodendrocyte
V419,S2986,Astrocyte
V420,S243,Cajal Retzius
V421,S3307,Dentate
V422,S2073,Dentate
V423,S4476,Endothelial
V424,S1776,Cajal Retzius
V425,S2457,Ependyma
V426,S909,Dentate
V427,S3505,Cajal Retzius
V428,S2640,Cajal Retzius
V429,S4296,Ependyma
V430,S2661,Cajal Retzius
V431,S130,Sic17ab
V432,S2696,Microglia
V433,S3144,Cajal Retzius
V434,S105,Sic17ab
V435,S1915,Ependyma
V436,S3600,Sic17ab
V437,S1426,Ependyma
V438,S1684,Sic17ab
V439,S3886,Fibroblast
V440,S4166,Cajal Retzius
V441,S4384,Cajal Retzius
V442,S765,Neurogenesis
V443,S2306,Cajal Retzius
V444,S2825,Cajal Retzius
V445,S4412,Neurogenesis
V446,S2012,Cajal Retzius
V447,S3120,Polydendrocyte
V448,S2780,Gad2
V449,S1464,Polydendrocyte
V450,S3203,Endothelial
V451,S2126,Microglia
V452,S2544,Fibroblast
V453,S264,Cajal Retzius
V454,S459,Dentate
V455,S2808,Dentate
V456,S3114,Cajal Retzius
V457,S3701,Cajal Retzius
V458,S389,Cajal Retzius
V459,S1368,Oligodendrocyte
V460,S3284,CA1
V461,S3964,Cajal Retzius
V462,S329,Astrocyte
V463,S3609,Astrocyte
V464,S1702,Cajal Retzius
V465,S142,Entorhinal
V466,S1948,Cajal Retzius
V467,S3054,Polydendrocyte
V468,S825,Entorhinal
V469,S1100,Astrocyte
V470,S4273,Cajal Retzius
V471,S3942,Cajal Retzius
V472,S1218,Cajal Retzius
V473,S4464,Ependyma
V474,S1239,Dentate
V475,S3322,Endothelial
V476,S3020,Ependyma
V477,S4061,Choroid
V478,S2116,Endothelial
V479,S4154,Dentate
V480,S989,Dentate
V481,S3367,Choroid
V482,S600,Cajal Retzius
V483,S1088,Cajal Retzius
V484,S3001,Neurogenesis
V485,S709,Microglia
V486,S133,CA1
V487,S2238,Neurogenesis
V488,S2458,Microglia
V489,S2265,Neurogenesis
V490,S2483,Cajal Retzius
V491,S3474,Microglia
V492,S1983,Microglia
V493,S1624,Fibroblast
V494,S719,Neurogenesis
V495,S3975,Microglia
V496,S2686,Dentate
V497,S267,Cajal Retzius
V498,S3281,Microglia
V499,S3314,Ependyma
V500,S3369,Ependyma
V501,S3051,Cajal Retzius
V502,S4570,Cajal Retzius
V503,S764,Dentate
V504,S1009,Neurogenesis
V505,S3820,Endothelial
V506,S2914,Neurogenesis
V507,S1325,Polydendrocyte
V508,S1739,Sic17ab
V509,S1019,Cajal Retzius
V510,S4182,Neurogenesis
V511,S1572,Sic17ab
V512,S711,Cajal Retzius
V513,S3011,Neurogenesis
V514,S2974,Astrocyte
V515,S3686,Ependyma
V516,S859,Dentate
V517,S2817,Dentate
V518,S3811,Sic17ab
V519,S36,Cajal Retzius
V520,S1238,Sic17ab
V521,S1373,Cajal Retzius
V522,S941,Cajal Retzius
V523,S3060,Sic17ab
V524,S425,Cajal Retzius
V525,S3938,Dentate
V526,S1139,Neurogenesis
V527,S2504,Endothelial
V528,S1665,Astrocyte
V529,S1125,Endothelial
V530,S850,Endothelial
V531,S3865,Neurogenesis
V532,S197,Cajal Retzius
V533,S3080,Entorhinal
V534,S2076,Dentate
V535,S1122,Polydendrocyte
V536,S543,Sic17ab
V537,S3074,Fibroblast
V538,S3912,Microglia
V539,S1326,Cajal Retzius
V540,S696,Cajal Retzius
V541,S3552,Polydendrocyte
V542,S4429,Cajal Retzius
V543,S1900,Ependyma
V544,S741,Cajal Retzius
V545,S1583,Ependyma
V546,S1619,Cajal Retzius
V547,S640,Neurogenesis
V548,S3232,Dentate
V549,S878,Mural
V550,S3761,Choroid
V551,S4337,Cajal Retzius
V552,S2,Cajal Retzius
V553,S1317,Dentate
V554,S2208,Astrocyte
V555,S1418,Neurogenesis
V556,S3153,Sic17ab
V557,S3831,Cajal Retzius
V558,S1099,Sic17ab
V559,S1270,Astrocyte
V560,S2939,CA1
V561,S1748,Cajal Retzius
V562,S1921,Cajal Retzius
V563,S3305,Cajal Retzius
V564,S3977,Cajal Retzius
V565,S269,Cajal Retzius
V566,S3055,Polydendrocyte
V567,S2538,Cajal Retzius
V568,S300,Sic17ab
V569,S1505,Sic17ab
V570,S3229,Neurogenesis
V571,S1191,Neurogenesis
V572,S1446,Oligodendrocyte
V573,S4282,Neurogenesis
V574,S2196,Endothelial
V575,S2101,CA2CA3
V576,S4061,Choroid
V577,S4381,Cajal Retzius
V578,S114,Dentate
V579,S2537,Cajal Retzius
V580,S1399,Astrocyte
V581,S219,Cajal Retzius
V582,S2567,Microglia
V583,S1727,Entorhinal
V584,S4426,Neurogenesis
V585,S4034,Neurogenesis
V586,S4376,Entorhinal
V587,S3960,Astrocyte
V588,S825,Cajal Retzius
V589,S4171,Cajal Retzius
V590,S1044,Dentate
V591,S980,Polydendrocyte
V592,S2751,Ependyma
V593,S4289,Polydendrocyte
V594,S602,Neurogenesis
V595,S1550,Neurogenesis
V596,S1294,Dentate
V597,S2945,Polydendrocyte
V598,S249,Microglia
V599,S3199,Neurogenesis
V600,S3842,Ependyma
V601,S2247,Neurogenesis
V602,S1128,Dentate
V603,S2736,Dentate
V604,S4455,Polydendrocyte
V605,S1889,Fibroblast
V606,S3160,Neurogenesis
V607,S2929,Neurogenesis
V608,S399,Cajal Retzius
V609,S4371,Cajal Retzius
V610,S2917,Ependyma
V611,S1886,Microglia
V612,S535,Dentate
V613,S1177,Polydendrocyte
V614,S4289,Polydendrocyte
V615,S1756,Cajal Retzius
V616,S1679,Microglia
V617,S1410,Neurogenesis
V618,S2350,Ependyma
V619,S424,Dentate
V620,S4341,Neurogenesis
V621,S3176,Endothelial
V622,S1434,Polydendrocyte
V623,S2372,CA1
V624,S136,Cajal Retzius
V625,S305,Gad2
V626,S2325,Cajal Retzius
V627,S1520,Neurogenesis
V628,S714,Neurogenesis
V629,S1921,Dentate
V630,S2241,Fibroblast
V631,S96,Cajal Retzius
V632,S1315,Cajal Retzius
V633,S78,Microglia
V634,S4414,Neurogenesis
V635,S1530,Cajal Retzius
V636,S4165,Cajal Retzius
V637,S2550,Cajal Retzius
V638,S2843,Polydendrocyte
V639,S3503,Choroid
V640,S1878,Sic17ab
V641,S446,Cajal Retzius
V642,S1293,Astrocyte
V643,S1622,Microglia
V644,S4385,Microglia
V645,S3676,Endothelial
V646,S3368,Choroid
V647,S84,Entorhinal
V648,S3880,Dentate
V649,S3839,Cajal Retzius
V650,S1780,Cajal Retzius
V651,S1440,Ependyma
V652,S3433,Fibroblast
V653,S3325,Gad2
V654,S2174,Cajal Retzius
V655,S4459,Neurogenesis
V656,S368,Cajal Retzius
V657,S3380,Dentate
V658,S2793,Cajal Retzius
V659,S837,Cajal Retzius
V660,S516,Dentate
V661,S2252,Cajal Retzius
V662,S4108,Dentate
V663,S227,Cajal Retzius
V664,S4588,Cajal Retzius
V665,S4162,Endothelial
V666,S3006,Cajal Retzius
V667,S4160,Sic17ab
V668,S2094,Sic17ab
V669,S4210,Sic17ab
V670,S1772,Dentate
V671,S2672,Ependyma
V672,S4048,Dentate
V673,S3970,Polydendrocyte
V674,S3769,Cajal Retzius
V675,S154,Cajal Retzius
V676,S3216,Oligodendrocyte
V677,S1722,Entorhinal
V678,S4522,Fibroblast
V679,S1328,Endothelial
V680,S3199,Dentate
V681,S2793,Dentate
V682,S2288,Dentate
V683,S1453,Cajal Retzius
V684,S2642,Cajal Retzius
V685,S4052,Dentate
V686,S2457,Choroid
V687,S2537,Dentate
V688,S1208,Microglia
V689,S3016,Cajal Retzius
V690,S2161,Entorhinal
V691,S4564,Endothelial
V692,S1169,Sic17ab
V693,S3157,Ependyma
V694,S4028,Cajal Retzius
V695,S2874,Ependyma
V696,S495,Cajal Retzius
V697,S527,Cajal Retzius
V698,S3485,Cajal Retzius
V699,S2910,Cajal Retzius
V700,S3648,Cajal Retzius
V701,S4227,Neurogenesis
V702,S2503,Entorhinal
V703,S928,Cajal Retzius
V704,S3071,Neurogenesis
V705,S3283,Cajal Retzius
V706,S3716,Neurogenesis
V707,S2896,Cajal Retzius
V708,S474,Neurogenesis
V709,S4656,Cajal Retzius
V710,S658,Cajal Retzius
V711,S520,Neurogenesis
V712,S2974,Cajal Retzius
V713,S173,Sic17ab
V714,S1413,Microglia
V715,S277,Microglia
V716,S1867,Cajal Retzius
V717,S2690,Cajal Retzius
V718,S1709,Neurogenesis
V719,S835,Neurogenesis
V720,S1654,Dentate
V721,S922,Cajal Retzius
V722,S2256,Sic17ab
V723,S2938,Astrocyte
V724,S2863,Sic17ab
V725,S1070,Microglia
V726,S697,Microglia
V727,S2413,Sic17ab
V728,S2051,Cajal Retzius
V729,S3876,Cajal Retzius
V730,S1471,Dentate
V731,S2336,Cajal Retzius
V732,S3477,Dentate
V733,S4182,Cajal Retzius
V734,S3855,Cajal Retzius
V735,S4061,Choroid
V736,S4511,Cajal Retzius
V737,S1663,Cajal Retzius
V738,S3826,Choroid
V739,S3625,Astrocyte
V740,S3913,Astrocyte
V741,S2100,Sic17ab
V742,S331,Dentate
V743,S193,Dentate
V744,S595,Neurogenesis
V745,S3280,Neurogenesis
V746,S1622,Ependyma
V747,S530,Cajal Retzius
V748,S1525,Cajal Retzius
V749,S949,Neurogenesis
V750,S3652,Astrocyte
V751,S1282,Astrocyte
V752,S3650,Endothelial
V753,S1953,Dentate
V754,S4421,Cajal Retzius
V755,S2220,Microglia
V756,S780,Ependyma
V757,S4278,Cajal Retzius
V758,S4294,Entorhinal
V759,S240,Cajal Retzius
V760,S1203,Neurogenesis
V761,S3127,Cajal Retzius
V762,S2679,Dentate
V763,S2398,Dentate
V764,S523,Ependyma
V765,S2580,Astrocyte
V766,S2671,Sic17ab
V767,S463,Cajal Retzius
V768,S2869,Cajal Retzius
V769,S1651,Sic17ab
V770,S2646,Dentate
V771,S3214,Microglia
V772,S2046,Neurogenesis
V773,S3966,Sic17ab
V774,S632,Cajal Retzius
V775,S3951,Cajal Retzius
V776,S4029,Entorhinal
V777,S4068,Cajal Retzius
V778,S2118,Cajal Retzius
V779,S1021,Astrocyte
V780,S1658,Endothelial
V781,S4212,Dentate
V782,S2637,Polydendrocyte
V783,S2852,Ependyma
V784,S4015,Cajal Retzius
V785,S153,Cajal Retzius
V786,S894,Entorhinal
V787,S2429,Neurogenesis
V788,S4128,Neurogenesis
V789,S859,Dentate
V790,S1574,Cajal Retzius
V791,S368,Dentate
V792,S1154,Cajal Retzius
V793,S1869,Cajal Retzius
V794,S2984,Cajal Retzius
V795,S1529,Sic17ab
V796,S292,Sic17ab
V797,S243,Cajal Retzius
V798,S4073,Cajal Retzius
V799,S3184,Entorhinal
V800,S2842,Polydendrocyte
V801,S1908,Gad2
V802,S484,Cajal Retzius
V803,S3717,Neurogenesis
V804,S2720,Cajal Retzius
V805,S2571,Neurogenesis
V806,S3221,Neurogenesis
V807,S3765,Cajal Retzius
V808,S147,Cajal Retzius
V809,S483,Dentate
V810,S1448,Astrocyte
V811,S4215,Entorhinal
V812,S2529,Neurogenesis
V813,S390,Microglia
V814,S993,Neurogenesis
V815,S1962,Cajal Retzius
V816,S4166,Cajal Retzius
V817,S638,Gad2
V818,S615,Cajal Retzius
V819,S4114,Cajal Retzius
V820,S4616,Cajal Retzius
V821,S251,Sic17ab
V822,S4386,Endothelial
V823,S1310,CA1
V824,S1039,Entorhinal
V825,S780,Dentate
V826,S1793,CA1
V827,S3350,Astrocyte
V828,S2769,Astrocyte
V829,S1170,Microglia
V830,S776,Cajal Retzius
V831,S3872,Ependyma
V832,S1935,Cajal Retzius
V833,S2749,Astrocyte
V834,S715,Choroid
V835,S2146,Neurogenesis
V836,S4023,Cajal Retzius
V837,S2091,Gad2
V838,S3097,Astrocyte
V839,S2725,Neurogenesis
V840,S2290,Neurogenesis
V841,S4179,Cajal Retzius
V842,S3347,Cajal Retzius
V843,S534,Cajal Retzius
V844,S1390,Entorhinal
V845,S1880,Polydendrocyte
V846,S698,Cajal Retzius
V847,S2237,Polydendrocyte
V848,S3389,Ependyma
V849,S1147,Choroid
V850,S2460,Dentate
V851,S4329,Cajal Retzius
V852,S3274,Neurogenesis
V853,S474,Cajal Retzius
V854,S3579,Microglia
V855,S2336,Cajal Retzius
V856,S3682,Astrocyte
V857,S136,Sic17ab
V858,S3216,Cajal Retzius
V859,S590,Dentate
V860,S4013,Dentate
V861,S2359,Neurogenesis
V862,S4118,Cajal Retzius
V863,S899,Cajal Retzius
V864,S3,Polydendrocyte
V865,S4104,Cajal Retzius
V866,S4231,Neurogenesis
V867,S3292,Dentate
V868,S4085,Fibroblast
V869,S1085,Entorhinal
V870,S2393,Neurogenesis
V871,S3318,Microglia
V872,S1927,Dentate
V873,S4293,Ependyma
V874,S2597,Dentate
V875,S3771,Cajal Retzius
V876,S3761,Choroid
V877,S1437,Fibroblast
V878,S3176,Ependyma
V879,S1661,Sic17ab
V880,S2501,Entorhinal
V881,S2400,Dentate
V882,S2579,Neurogenesis
V883,S282,Cajal Retzius
V884,S3616,Entorhinal
V885,S1053,Cajal Retzius
V886,S2924,Polydendrocyte
V887,S4239,Cajal Retzius
V888,S1341,Ependyma
V889,S3012,Neurogenesis
V890,S171,Neurogenesis
V891,S2646,Astrocyte
V892,S3357,Cajal Retzius
V893,S664,Microglia
V894,S1845,Cajal Retzius
V895,S2586,Microglia
V896,S2842,Cajal Retzius
V897,S1600,Cajal Retzius
V898,S703,Neurogenesis
V899,S3339,Dentate
V900,S1758,Dentate
V901,S252,Sic17ab
V902,S1980,Dentate
V903,S225,Cajal Retzius
V904,S876,Cajal Retzius
V905,S1358,Sic17ab
V906,S4040,Neurogenesis
V907,S376,Gad2
V908,S1619,Dentate
V909,S4006,Choroid
V910,S1030,Sic17ab
V911,S1608,Cajal Retzius
V912,S900,Cajal Retzius
V913,S2816,Neurogenesis
V914,S3210,Astrocyte
V915,S1520,Sic17ab
V916,S2409,Ependyma
V917,S4069,Ependyma
V918,S3050,Endothelial
V919,S3581,Ependyma
V920,S1308,Cajal Retzius
V921,S1586,Cajal Retzius
V922,S45,Cajal Retzius
V923,S2481,Polydendrocyte
V924,S1487,Mural
V925,S811,Cajal Retzius
V926,S980,Ependyma
V927,S920,Cajal Retzius
V928,S3977,Microglia
V929,S2741,Fibroblast
V930,S1701,Neurogenesis
V931,S858,Dentate
V932,S1372,Cajal Retzius
V933,S2360,Cajal Retzius
V934,S2762,Gad2
V935,S3859,Cajal Retzius
V936,S2653,Neurogenesis
V937,S2672,Cajal Retzius
V938,S1032,Cajal Retzius
V939,S368,Cajal Retzius
V940,S2275,CA1
V941,S3302,Microglia
V942,S2220,Dentate
V943,S2985,Ependyma
V944,S395,Cajal Retzius
V945,S2520,Sic17ab
V946,S4115,Cajal Retzius
V947,S1730,Entorhinal
V948,S2699,Cajal Retzius
V949,S2147,Dentate
V950,S3056,Ependyma
V951,S1595,Cajal Retzius
V952,S3027,Neurogenesis
V953,S2939,Neurogenesis
V954,S3871,Dentate
V955,S4321,Cajal Retzius
V956,S3764,Choroid
V957,S4297,Gad2
V958,S1092,Microglia
V959,S2010,Dentate
V960,S4100,Astrocyte
V961,S1530,Entorhinal
V962,S3438,Choroid
V963,S2076,Dentate
V964,S1852,Polydendrocyte
V965,S2902,Cajal Retzius
V966,S2259,Neurogenesis
V967,S1446,Fibroblast
V968,S2293,Cajal Retzius
V969,S3046,Cajal Retzius
V970,S3780,Cajal Retzius
V971,S3129,Dentate
V972,S4024,Neurogenesis
V973,S1963,Ependyma
V974,S500,Cajal Retzius
V975,S1091,Cajal Retzius
V976,S2590,Neurogenesis
V977,S571,Sic17ab
V978,S2415,Astrocyte
V979,S3632,Choroid
V980,S2373,Dentate
V981,S3749,Microglia
V982,S4198,Microglia
V983,S3842,Astrocyte
V984,S3658,Microglia
V985,S3951,Cajal Retzius
V986,S4154,Microglia
V987,S2114,Polydendrocyte
V988,S2926,Dentate
V989,S2825,Ependyma
V990,S2397,Microglia
V991,S3889,Choroid
V992,S3915,Astrocyte
V993,S2968,Cajal Retzius
V994,S1286,Dentate
