CellID,SpotID,CellType
V131,S2050,Endothelial
V132,S508,Granule
V133,S293,Bergmann
V134,S2740,Granule
V135,S4379,Granule
V136,S1950,Choroid
V137,S49,Granule
V138,S3812,Bergmann
V139,S3345,Oligodendrocyte
V140,S1448,Granule
V141,S3451,Granule
V142,S2051,Oligodendrocyte
V143,S2351,Granule
V144,S4183,Granule
V145,S4317,Granule
V146,S4413,Granule
V147,S1310,Granule
V148,S1174,Granule
V149,S2926,Bergmann
V150,S4183,Granule
V151,S1434,Granule
V152,S4112,Granule
V153,S4436,Granule
V154,S2085,Bergmann
V155,S3279,Granule
V156,S608,Granule
V157,S3682,Granule
V158,S2627,Granule
V159,S4197,Granule
V160,S4534,Granule
V161,S588,Granule
V162,S3428,Granule
V163,S1221,Granule
V164,S3055,Granule
V165,S2179,Granule
V166,S1294,Granule
V167,S4382,Granule
V168,S2074,Pvalb
V169,S4440,Granule
V170,S335,Purkinje
V171,S4379,Granule
V172,S4575,Granule
V173,S4692,Granule
V174,S3452,Granule
V175,S3690,Granule
V176,S4488,Granule
V177,S4413,Granule
V178,S3057,Nnat
V179,S3610,Granule
V180,S3057,Pvalb
V181,S4380,Granule
V182,S4254,Granule
V183,S3055,Granule
V184,S4111,Granule
V185,S3608,Granule
V186,S1291,Nnat
V187,S3056,Fibroblast
V188,S4318,Granule
V189,S3530,Granule
V190,S2050,Bergmann
V191,S4357,Granule
V192,S4111,Granule
V193,S4254,Granule
V194,S590,Granule
V195,S1223,Granule
V196,S930,Purkinje
V197,S1447,Granule
V198,S1221,Bergmann
V199,S3690,Granule
V200,S60,Bergmann
V201,S4187,Granule
V202,S4576,Granule
V203,S1827,Fibroblast
V204,S3036,Granule
V205,S1291,Granule
V206,S1224,Granule
V207,S866,Granule
V208,S4382,Granule
V209,S318,Granule
V210,S930,Bergmann
V211,S4380,Granule
V212,S2135,Granule
V213,S1222,Microglia
V214,S4325,Granule
V215,S3529,Granule
V216,S3227,Granule
V217,S1292,Granule
V218,S2178,Granule
V219,S568,Nnat
V220,S1990,Granule
V221,S3058,Oligodendrocyte
V222,S308,Granule
V223,S3612,Granule
V224,S3056,Fibroblast
V225,S4186,Oligodendrocyte
V226,S1100,Granule
V227,S1520,Granule
V228,S1223,Granule
V229,S4031,Granule
V230,S2263,Granule
V231,S2178,Granule
V232,S4256,Granule
V233,S4534,Granule
V234,S354,Granule
V235,S1368,Granule
V236,S2051,Granule
V237,S4693,Bergmann
V238,S3692,Astrocyte
V239,S835,Microglia
V240,S586,Purkinje
V241,S3145,Fibroblast
V242,S997,Granule
V243,S4186,Granule
V244,S2136,Fibroblast
V245,S962,Microglia
V246,S3530,Granule
V247,S2074,Granule
V248,S4316,Nnat
V249,S1157,Granule
V250,S4185,Granule
V251,S3337,Oligodendrocyte
V252,S698,Granule
V253,S344,Granule
V254,S2973,Endothelial
V255,S3503,Astrocyte
V256,S1939,Oligodendrocyte
V257,S4731,Granule
V258,S1822,Bergmann
V259,S4499,Granule
V260,S3419,Oligodendrocyte
V261,S353,Pvalb
V262,S3270,Granule
V263,S613,Granule
V264,S2627,Granule
V265,S1809,Granule
V266,S3805,Granule
V267,S3539,Choroid
V268,S3423,Granule
V269,S4017,Purkinje
V270,S1878,Fibroblast
V271,S3726,Granule
V272,S3836,Granule
V273,S1044,Granule
V274,S3969,Oligodendrocyte
V275,S3290,Granule
V276,S1101,Granule
V277,S942,Granule
V278,S1283,Endothelial
V279,S2353,Granule
V280,S3485,Granule
V281,S3919,Fibroblast
V282,S4672,Fibroblast
V283,S4076,Endothelial
V284,S708,Choroid
V285,S4410,Granule
V286,S311,Granule
V287,S3586,Endothelial
V288,S2638,Astrocyte
V289,S4145,Choroid
V290,S668,Granule
V291,S3968,Fibroblast
V292,S1457,Oligodendrocyte
V293,S3213,Granule
V294,S732,Bergmann
V295,S967,Granule
V296,S2589,Granule
V297,S771,Granule
V298,S2546,Pvalb
V299,S1652,Granule
V300,S4148,Granule
V301,S2316,Purkinje
V302,S4267,Granule
V303,S2556,Bergmann
V304,S528,Bergmann
V305,S168,Granule
V306,S262,Granule
V307,S1289,Granule
V308,S39,Bergmann
V309,S3407,Choroid
V310,S3106,Granule
V311,S1082,Granule
V312,S4379,Granule
V313,S3546,Choroid
V314,S1687,Oligodendrocyte
V315,S1923,Granule
V316,S2363,Granule
V317,S195,Astrocyte
V318,S4118,Granule
V319,S2664,Granule
V320,S3903,Granule
V321,S3319,Granule
V322,S2285,Granule
V323,S2371,Granule
V324,S108,Purkinje
V325,S4077,Granule
V326,S989,Purkinje
V327,S1774,Granule
V328,S690,Granule
V329,S2519,Purkinje
V330,S312,Granule
V331,S2034,Granule
V332,S2289,Oligodendrocyte
V333,S1362,Granule
V334,S2546,Oligodendrocyte
V335,S593,Granule
V336,S3682,Purkinje
V337,S4272,Granule
V338,S4445,Astrocyte
V339,S3923,Pvalb
V340,S1548,Granule
V341,S3188,Granule
V342,S20,Granule
V343,S3048,Granule
V344,S4357,Granule
V345,S1992,Granule
V346,S3943,Purkinje
V347,S2604,Granule
V348,S389,Granule
V349,S2467,Granule
V350,S1772,Pvalb
V351,S2223,Granule
V352,S652,Granule
V353,S1130,Purkinje
V354,S2287,Oligodendrocyte
V355,S3101,Astrocyte
V356,S2101,Granule
V357,S4267,Granule
V358,S3014,Granule
V359,S1449,Granule
V360,S505,Granule
V361,S4074,Granule
V362,S1754,Granule
V363,S4026,Pvalb
V364,S2349,Granule
V365,S4138,Astrocyte
V366,S3244,Purkinje
V367,S1151,Endothelial
V368,S3225,Bergmann
V369,S4241,Microglia
V370,S1788,Fibroblast
V371,S3590,Microglia
V372,S4675,Granule
V373,S224,Nnat
V374,S3623,Astrocyte
V375,S51,Granule
V376,S320,Pvalb
V377,S3417,Astrocyte
V378,S1600,Oligodendrocyte
V379,S3737,Purkinje
V380,S2383,Oligodendrocyte
V381,S4111,Nnat
V382,S1397,Pvalb
V383,S3622,Oligodendrocyte
V384,S4138,Granule
V385,S744,Granule
V386,S3931,Granule
V387,S248,Granule
V388,S1878,Astrocyte
V389,S4334,Granule
V390,S2576,Purkinje
V391,S308,Granule
V392,S2146,Purkinje
V393,S603,Granule
V394,S766,Oligodendrocyte
V395,S2545,Endothelial
V396,S2099,Granule
V397,S2304,Oligodendrocyte
V398,S3467,Choroid
V399,S2051,Oligodendrocyte
V400,S716,Granule
V401,S2354,Purkinje
V402,S1785,Oligodendrocyte
V403,S3014,Granule
V404,S670,Granule
V405,S1013,Granule
V406,S392,Granule
V407,S4600,Purkinje
V408,S4403,Endothelial
V409,S2653,Granule
V410,S4528,Granule
V411,S1669,Bergmann
V412,S1281,Fibroblast
V413,S158,Bergmann
V414,S870,Granule
V415,S754,Pvalb
V416,S4710,Nnat
V417,S355,Granule
V418,S1053,Granule
V419,S3033,Endothelial
V420,S2956,Granule
V421,S776,Granule
V422,S229,Granule
V423,S4329,Granule
V424,S312,Fibroblast
V425,S4042,Granule
V426,S4090,Fibroblast
V427,S59,Bergmann
V428,S3893,Granule
V429,S3031,Purkinje
V430,S2628,Choroid
V431,S3303,Choroid
V432,S2882,Fibroblast
V433,S4199,Granule
V434,S3146,Purkinje
V435,S1150,Granule
V436,S892,Oligodendrocyte
V437,S1018,Granule
V438,S1203,Granule
V439,S3834,Granule
V440,S3141,Granule
V441,S3090,Purkinje
V442,S4643,Granule
V443,S869,Pvalb
V444,S1487,Bergmann
V445,S3047,Nnat
V446,S3761,Granule
V447,S2540,Pvalb
V448,S1901,Granule
V449,S3013,Granule
V450,S709,Granule
V451,S939,Granule
V452,S2717,Granule
V453,S62,Purkinje
V454,S401,Granule
V455,S813,Fibroblast
V456,S2764,Granule
V457,S3662,Purkinje
V458,S1785,Granule
V459,S468,Bergmann
V460,S1902,Astrocyte
V461,S668,Granule
V462,S4293,Granule
V463,S962,Oligodendrocyte
V464,S4372,Purkinje
V465,S4190,Choroid
V466,S120,Granule
V467,S1521,Granule
V468,S4284,Pvalb
V469,S1202,Granule
V470,S2972,Granule
V471,S39,Purkinje
V472,S1860,Granule
V473,S3132,Pvalb
V474,S3977,Granule
V475,S4296,Granule
V476,S266,Granule
V477,S2557,Pvalb
V478,S1652,Granule
V479,S3078,Oligodendrocyte
V480,S1317,Purkinje
V481,S4599,Pvalb
V482,S4242,Purkinje
V483,S3623,Bergmann
V484,S1844,Granule
V485,S488,Granule
V486,S2394,Bergmann
V487,S350,Granule
V488,S4117,Oligodendrocyte
V489,S4374,Astrocyte
V490,S3344,Endothelial
V491,S3352,Purkinje
V492,S2570,Purkinje
V493,S274,Oligodendrocyte
V494,S2641,Microglia
V495,S1239,Granule
V496,S2267,Granule
V497,S133,Endothelial
V498,S2837,Pvalb
V499,S1963,Granule
V500,S1359,Bergmann
V501,S1203,Granule
V502,S1549,Granule
V503,S1904,Purkinje
V504,S1236,Endothelial
V505,S1946,Granule
V506,S77,Granule
V507,S1785,Oligodendrocyte
V508,S4101,Purkinje
V509,S1104,Purkinje
V510,S71,Granule
V511,S4121,Granule
V512,S3812,Granule
V513,S2881,Granule
V514,S3572,Bergmann
V515,S4291,Microglia
V516,S737,Granule
V517,S3597,Granule
V518,S3027,Granule
V519,S3543,Choroid
V520,S127,Granule
V521,S1903,Bergmann
V522,S4030,Bergmann
V523,S3949,Endothelial
V524,S2565,Pvalb
V525,S278,Oligodendrocyte
V526,S1658,Purkinje
V527,S774,Granule
V528,S3404,Endothelial
V529,S615,Granule
V530,S904,Granule
V531,S2233,Pvalb
V532,S1526,Pvalb
V533,S3171,Oligodendrocyte
V534,S318,Granule
V535,S4498,Granule
V536,S121,Granule
V537,S2021,Oligodendrocyte
V538,S2998,Oligodendrocyte
V539,S4178,Purkinje
V540,S2541,Endothelial
V541,S3318,Granule
V542,S4650,Granule
V543,S3634,Granule
V544,S2695,Granule
V545,S2956,Granule
V546,S3272,Granule
V547,S151,Granule
V548,S3269,Granule
V549,S2855,Granule
V550,S1384,Endothelial
V551,S4230,Granule
V552,S2225,Astrocyte
V553,S1387,Granule
V554,S936,Bergmann
V555,S1304,Pvalb
V556,S683,Granule
V557,S2675,Bergmann
V558,S3978,Granule
V559,S2882,Granule
V560,S2570,Endothelial
V561,S4091,Purkinje
V562,S1406,Granule
V563,S1566,Oligodendrocyte
V564,S2745,Purkinje
V565,S191,Granule
V566,S2654,Bergmann
V567,S3440,Pvalb
V568,S2294,Granule
V569,S1056,Granule
V570,S2101,Granule
V571,S1969,Bergmann
V572,S1481,Granule
V573,S3720,Bergmann
V574,S3427,Granule
V575,S2634,Endothelial
V576,S3561,Nnat
V577,S3847,Fibroblast
V578,S1645,Oligodendrocyte
V579,S349,Granule
V580,S1698,Microglia
V581,S2212,Oligodendrocyte
V582,S1997,Granule
V583,S87,Purkinje
V584,S1903,Bergmann
V585,S3866,Granule
V586,S3192,Granule
V587,S4102,Granule
V588,S3905,Purkinje
V589,S708,Granule
V590,S3259,Granule
V591,S483,Granule
V592,S1732,Granule
V593,S585,Purkinje
V594,S2936,Bergmann
V595,S1841,Granule
V596,S1172,Granule
V597,S3006,Granule
V598,S4510,Endothelial
V599,S4732,Bergmann
V600,S905,Endothelial
V601,S3292,Purkinje
V602,S2144,Purkinje
V603,S4386,Granule
V604,S321,Granule
V605,S498,Oligodendrocyte
V606,S3699,Granule
V607,S4289,Bergmann
V608,S4653,Granule
V609,S715,Granule
V610,S2170,Purkinje
V611,S1699,Oligodendrocyte
V612,S27,Fibroblast
V613,S1305,Granule
V614,S1816,Purkinje
V615,S1935,Fibroblast
V616,S3190,Granule
V617,S22,Pvalb
V618,S2995,Granule
V619,S661,Fibroblast
V620,S189,Granule
V621,S4315,Granule
V622,S4247,Purkinje
V623,S1582,Bergmann
V624,S1553,Granule
V625,S123,Granule
V626,S64,Granule
V627,S4149,Pvalb
V628,S4446,Granule
V629,S4286,Nnat
V630,S617,Granule
V631,S1576,Purkinje
V632,S4636,Choroid
V633,S197,Granule
V634,S1017,Granule
V635,S1033,Granule
V636,S2072,Purkinje
V637,S1476,Granule
V638,S384,Microglia
V639,S2813,Granule
V640,S1436,Nnat
V641,S237,Granule
V642,S1129,Bergmann
V643,S3215,Oligodendrocyte
V644,S25,Endothelial
V645,S2643,Oligodendrocyte
V646,S3697,Granule
V647,S1851,Granule
V648,S638,Bergmann
V649,S126,Astrocyte
V650,S4463,Fibroblast
V651,S1443,Granule
V652,S3213,Choroid
V653,S3092,Bergmann
V654,S4604,Granule
V655,S3104,Granule
V656,S1380,Granule
V657,S1942,Granule
V658,S560,Granule
V659,S1860,Granule
V660,S2406,Granule
V661,S4756,Fibroblast
V662,S3145,Pvalb
V663,S2162,Fibroblast
V664,S4412,Granule
V665,S4534,Granule
V666,S1418,Granule
V667,S4604,Granule
V668,S2315,Granule
V669,S2121,Choroid
V670,S2279,Oligodendrocyte
V671,S4323,Oligodendrocyte
V672,S747,Granule
V673,S4200,Granule
V674,S490,Granule
V675,S3228,Granule
V676,S101,Granule
V677,S4574,Granule
V678,S4043,Granule
V679,S1673,Bergmann
V680,S2101,Pvalb
V681,S2982,Bergmann
V682,S2082,Purkinje
V683,S3016,Granule
V684,S4069,Purkinje
V685,S3781,Astrocyte
V686,S865,Bergmann
V687,S4135,Purkinje
V688,S4408,Bergmann
V689,S3893,Granule
V690,S4226,Fibroblast
V691,S4696,Granule
V692,S379,Granule
V693,S3034,Granule
V694,S3788,Granule
V695,S1525,Granule
V696,S3012,Granule
V697,S2942,Granule
V698,S2277,Granule
V699,S666,Nnat
V700,S4073,Granule
V701,S3541,Granule
V702,S705,Astrocyte
V703,S914,Purkinje
V704,S124,Granule
V705,S3182,Granule
V706,S1690,Fibroblast
V707,S3165,Granule
V708,S936,Bergmann
V709,S306,Granule
V710,S3792,Granule
V711,S5,Granule
V712,S1732,Granule
V713,S286,Granule
V714,S1769,Granule
V715,S3556,Granule
V716,S3364,Granule
V717,S2956,Granule
V718,S828,Microglia
V719,S1737,Granule
V720,S4418,Fibroblast
V721,S3135,Bergmann
V722,S1676,Granule
V723,S89,Granule
V724,S4484,Granule
V725,S1480,Granule
V726,S2887,Granule
V727,S266,Granule
V728,S1140,Granule
V729,S2675,Pvalb
V730,S3828,Granule
V731,S767,Granule
V732,S4049,Granule
V733,S2483,Granule
V734,S1416,Oligodendrocyte
V735,S2499,Granule
V736,S2140,Granule
V737,S2651,Bergmann
V738,S160,Granule
V739,S3354,Bergmann
V740,S2415,Oligodendrocyte
V741,S4705,Granule
V742,S1422,Granule
V743,S965,Granule
V744,S4043,Granule
V745,S2065,Purkinje
V746,S2650,Bergmann
V747,S1902,Bergmann
V748,S1343,Purkinje
V749,S2970,Granule
V750,S1200,Granule
V751,S2898,Granule
V752,S2611,Bergmann
V753,S3160,Bergmann
V754,S251,Bergmann
V755,S867,Astrocyte
V756,S3525,Granule
V757,S3002,Granule
V758,S891,Oligodendrocyte
V759,S464,Purkinje
V760,S3592,Purkinje
V761,S998,Purkinje
V762,S779,Granule
V763,S847,Granule
V764,S1103,Granule
V765,S2880,Granule
V766,S3104,Granule
V767,S1040,Granule
V768,S4263,Granule
V769,S2357,Purkinje
V770,S4016,Purkinje
V771,S4625,Bergmann
V772,S1244,Granule
V773,S1736,Granule
V774,S4394,Fibroblast
V775,S4561,Granule
V776,S3433,Bergmann
V777,S247,Bergmann
V778,S2514,Granule
V779,S3483,Bergmann
V780,S4697,Granule
V781,S3678,Purkinje
V782,S4162,Granule
V783,S4546,Granule
V784,S1037,Granule
V785,S2718,Granule
V786,S1837,Granule
V787,S1405,Granule
V788,S3241,Pvalb
V789,S4212,Granule
V790,S1000,Purkinje
V791,S573,Nnat
V792,S2697,Granule
V793,S4427,Granule
V794,S1878,Astrocyte
V795,S2024,Astrocyte
V796,S1646,Granule
V797,S4550,Granule
V798,S967,Granule
V799,S4486,Granule
V800,S1813,Pvalb
V801,S461,Granule
V802,S3661,Astrocyte
V803,S2511,Microglia
V804,S1431,Fibroblast
V805,S841,Granule
V806,S26,Purkinje
V807,S1095,Microglia
V808,S1737,Purkinje
V809,S4248,Granule
V810,S2460,Pvalb
V811,S2424,Granule
V812,S3825,Granule
V813,S2011,Purkinje
V814,S1417,Granule
V815,S2344,Fibroblast
V816,S2639,Granule
V817,S3020,Purkinje
V818,S1764,Choroid
V819,S3104,Granule
V820,S4460,Granule
V821,S3846,Pvalb
V822,S3669,Bergmann
V823,S259,Granule
V824,S3617,Pvalb
V825,S4265,Granule
V826,S1136,Granule
V827,S3838,Microglia
V828,S729,Granule
V829,S4650,Granule
V830,S399,Granule
V831,S370,Granule
V832,S3278,Granule
V833,S4288,Pvalb
V834,S2142,Purkinje
V835,S3740,Granule
V836,S1721,Endothelial
V837,S2790,Bergmann
V838,S512,Granule
V839,S426,Granule
V840,S2672,Purkinje
V841,S1588,Bergmann
V842,S1940,Oligodendrocyte
V843,S919,Purkinje
V844,S2099,Granule
V845,S207,Granule
V846,S2596,Granule
V847,S1531,Granule
V848,S309,Granule
V849,S2675,Bergmann
V850,S2808,Granule
V851,S2530,Purkinje
V852,S1449,Granule
V853,S4014,Granule
V854,S3249,Granule
V855,S4311,Granule
V856,S69,Granule
V857,S3929,Bergmann
V858,S1890,Granule
V859,S1461,Astrocyte
V860,S3137,Oligodendrocyte
V861,S1020,Granule
V862,S2287,Oligodendrocyte
V863,S3976,Granule
V864,S3792,Granule
V865,S4181,Purkinje
V866,S4468,Microglia
V867,S2116,Microglia
V868,S859,Bergmann
V869,S3283,Granule
V870,S2237,Granule
V871,S1151,Bergmann
V872,S3998,Pvalb
V873,S3919,Granule
V874,S2559,Astrocyte
V875,S1139,Granule
V876,S1621,Microglia
V877,S2997,Oligodendrocyte
V878,S2898,Granule
V879,S384,Purkinje
V880,S2291,Bergmann
V881,S3011,Purkinje
V882,S1112,Granule
V883,S4479,Bergmann
V884,S1111,Granule
V885,S435,Granule
V886,S3381,Granule
V887,S118,Granule
V888,S2419,Microglia
V889,S2640,Oligodendrocyte
V890,S2790,Purkinje
V891,S3495,Bergmann
V892,S1840,Granule
V893,S3701,Astrocyte
V894,S1350,Purkinje
V895,S2953,Granule
V896,S462,Granule
V897,S2568,Granule
V898,S3587,Granule
V899,S2945,Bergmann
V900,S300,Pvalb
V901,S3343,Granule
V902,S3355,Purkinje
V903,S60,Purkinje
V904,S1883,Granule
V905,S1483,Fibroblast
V906,S4157,Astrocyte
V907,S2812,Bergmann
V908,S4092,Astrocyte
V909,S3024,Granule
V910,S3427,Astrocyte
V911,S1492,Granule
V912,S562,Granule
V913,S934,Bergmann
V914,S1401,Granule
V915,S1988,Purkinje
V916,S1472,Granule
V917,S907,Granule
V918,S889,Oligodendrocyte
V919,S2902,Granule
V920,S2431,Granule
V921,S393,Granule
V922,S1397,Purkinje
V923,S4004,Granule
V924,S312,Bergmann
V925,S1795,Oligodendrocyte
V926,S119,Granule
V927,S3701,Microglia
V928,S1692,Oligodendrocyte
V929,S144,Purkinje
V930,S4123,Granule
V931,S3051,Bergmann
V932,S3294,Nnat
V933,S4030,Granule
V934,S3181,Granule
V935,S3544,Astrocyte
V936,S1241,Granule
V937,S508,Astrocyte
V938,S3321,Bergmann
V939,S288,Endothelial
V940,S3069,Purkinje
V941,S4531,Granule
V942,S2496,Granule
V943,S24,Granule
V944,S1777,Granule
V945,S4196,Granule
V946,S4531,Granule
V947,S3336,Microglia
V948,S2100,Granule
V949,S2681,Granule
V950,S841,Nnat
V951,S260,Granule
V952,S3901,Granule
V953,S144,Granule
V954,S3138,Microglia
V955,S1337,Fibroblast
V956,S561,Granule
V957,S3358,Granule
V958,S2642,Bergmann
V959,S3118,Endothelial
V960,S2630,Pvalb
V961,S2237,Granule
V962,S4678,Granule
V963,S1134,Choroid
V964,S4409,Pvalb
V965,S2457,Fibroblast
V966,S1064,Granule
V967,S4070,Granule
V968,S3312,Granule
V969,S420,Granule
V970,S831,Fibroblast
V971,S2997,Bergmann
V972,S2937,Astrocyte
V973,S1890,Granule
V974,S275,Granule
V975,S602,Granule
V976,S2444,Granule
V977,S2873,Granule
V978,S183,Granule
V979,S1238,Granule
V980,S2256,Bergmann
V981,S3971,Bergmann
V982,S839,Granule
V983,S4512,Pvalb
V984,S721,Granule
V985,S3326,Bergmann
V986,S2520,Granule
V987,S942,Granule
V988,S3300,Astrocyte
V989,S3417,Granule
V990,S3294,Pvalb
V991,S1663,Granule
V992,S4154,Bergmann
V993,S3300,Choroid
V994,S2196,Pvalb
V995,S2972,Pvalb
V996,S3020,Granule
V997,S2888,Granule
V998,S610,Granule
V999,S2286,Pvalb
V1000,S3122,Granule
V1001,S1818,Purkinje
V1002,S2193,Oligodendrocyte
V1003,S2068,Bergmann
V1004,S3825,Purkinje
V1005,S244,Purkinje
V1006,S2626,Bergmann
V1007,S59,Granule
V1008,S1342,Granule
V1009,S29,Bergmann
V1010,S1787,Fibroblast
V1011,S142,Bergmann
V1012,S3468,Bergmann
V1013,S1341,Pvalb
V1014,S2609,Granule
V1015,S2421,Purkinje
V1016,S2956,Nnat
V1017,S4390,Granule
V1018,S611,Granule
V1019,S3643,Bergmann
V1020,S2167,Bergmann
V1021,S2379,Granule
V1022,S4163,Bergmann
V1023,S4136,Astrocyte
V1024,S4312,Granule
V1025,S3193,Granule
V1026,S3006,Pvalb
V1027,S3252,Granule
V1028,S1589,Purkinje
V1029,S351,Granule
V1030,S1460,Granule
V1031,S75,Granule
V1032,S1656,Purkinje
V1033,S1310,Granule
V1034,S105,Granule
V1035,S1091,Granule
V1036,S3555,Fibroblast
V1037,S2824,Oligodendrocyte
V1038,S1376,Oligodendrocyte
V1039,S3198,Granule
V1040,S3869,Bergmann
V1041,S1936,Microglia
V1042,S4165,Endothelial
V1043,S750,Fibroblast
V1044,S3675,Purkinje
V1045,S1928,Pvalb
V1046,S613,Granule
V1047,S436,Granule
V1048,S3381,Choroid
V1049,S3502,Fibroblast
V1050,S2535,Granule
V1051,S431,Endothelial
V1052,S321,Granule
V1053,S4589,Purkinje
V1054,S2558,Granule
V1055,S1439,Granule
V1056,S463,Purkinje
V1057,S850,Bergmann
V1058,S1004,Granule
V1059,S3322,Purkinje
V1060,S360,Nnat
V1061,S2267,Granule
V1062,S1500,Purkinje
V1063,S3886,Bergmann
V1064,S1460,Granule
V1065,S393,Granule
V1066,S1005,Granule
V1067,S3503,Choroid
V1068,S1690,Oligodendrocyte
V1069,S3164,Fibroblast
V1070,S3593,Granule
V1071,S197,Granule
V1072,S2914,Granule
V1073,S2912,Choroid
V1074,S2148,Purkinje
V1075,S4584,Nnat
V1076,S563,Granule
V1077,S2064,Granule
V1078,S3104,Granule
V1079,S817,Bergmann
V1080,S1270,Granule
V1081,S1769,Fibroblast
V1082,S4133,Pvalb
V1083,S36,Fibroblast
V1084,S2339,Nnat
V1085,S3626,Purkinje
V1086,S2197,Granule
V1087,S2942,Granule
V1088,S2190,Endothelial
V1089,S1730,Granule
V1090,S3730,Purkinje
V1091,S2865,Granule
V1092,S4653,Purkinje
V1093,S1361,Granule
V1094,S4207,Purkinje
V1095,S4618,Granule
V1096,S1126,Purkinje
V1097,S891,Endothelial
V1098,S3523,Granule
V1099,S985,Granule
V1100,S981,Granule
V1101,S1636,Granule
V1102,S4058,Pvalb
V1103,S1173,Granule
V1104,S4749,Fibroblast
V1105,S2786,Bergmann
V1106,S4317,Granule
V1107,S3105,Granule
V1108,S2461,Granule
V1109,S3825,Granule
V1110,S3026,Pvalb
V1111,S4363,Purkinje
V1112,S590,Microglia
V1113,S1987,Pvalb
V1114,S3129,Granule
V1115,S3767,Endothelial
V1116,S103,Granule
V1117,S4392,Granule
V1118,S4610,Granule
V1119,S2700,Granule
V1120,S138,Astrocyte
V1121,S2419,Granule
V1122,S3179,Granule
V1123,S4641,Granule
V1124,S3615,Endothelial
V1125,S663,Granule
V1126,S1530,Oligodendrocyte
V1127,S710,Granule
V1128,S210,Purkinje
V1129,S4617,Granule
V1130,S1058,Bergmann
V1131,S2629,Granule
V1132,S1715,Bergmann
V1133,S2915,Purkinje
V1134,S3226,Granule
V1135,S1515,Granule
V1136,S3753,Endothelial
V1137,S3131,Granule
V1138,S3924,Pvalb
V1139,S1889,Granule
V1140,S1995,Endothelial
V1141,S1984,Granule
V1142,S2458,Granule
V1143,S132,Endothelial
V1144,S973,Granule
V1145,S2609,Oligodendrocyte
V1146,S207,Granule
V1147,S151,Granule
V1148,S4619,Granule
V1149,S2949,Pvalb
V1150,S1002,Purkinje
V1151,S2820,Oligodendrocyte
V1152,S1339,Oligodendrocyte
V1153,S2555,Bergmann
V1154,S2199,Granule
V1155,S4681,Granule
V1156,S3109,Granule
V1157,S4636,Purkinje
V1158,S3629,Bergmann
V1159,S1739,Purkinje
