Values,Predict,Lable,CellType,predict_x,predict_y
V4857,S24,S24,Bergmann,9,56
V12200,S25,S25,Bergmann,9,57
V13858,S25,S25,Bergmann,9,57
V1662,S25,S25,Bergmann,9,57
V644,S25,S25,Endothelial,9,57
V7684,S25,S25,Purkinje,9,57
V13477,S25,S25,Purkinje,9,57
V11559,S26,S26,Purkinje,9,58
V13726,S26,S26,Purkinje,9,58
V14594,S26,S26,Purkinje,9,58
V14592,S26,S26,Purkinje,9,58
V3939,S26,S26,Purkinje,9,58
V12868,S26,S26,Purkinje,9,58
V612,S27,S27,Fibroblast,9,59
V4147,S27,S27,Oligodendrocyte,9,59
V7644,S27,S27,Bergmann,9,59
V13813,S27,S27,Granule,9,59
V20627,S27,S27,Granule,9,59
V20673,S27,S27,Granule,9,59
V22383,S27,S27,Granule,9,59
V4319,S28,S28,Granule,9,60
V5077,S28,S28,Granule,9,60
V7538,S28,S28,Oligodendrocyte,9,60
V11177,S28,S28,Granule,9,60
V15058,S28,S28,Granule,9,60
V17092,S28,S28,Granule,9,60
V17191,S28,S28,Granule,9,60
V1009,S29,S29,Bergmann,9,61
V3963,S29,S29,Granule,9,61
V7022,S29,S29,Oligodendrocyte,9,61
V9393,S29,S29,Granule,9,61
V15817,S29,S29,Granule,9,61
V5833,S29,S29,Oligodendrocyte,9,61
V4906,S30,S30,Granule,9,62
V4947,S30,S30,Granule,9,62
V10011,S30,S30,Granule,9,62
V13032,S30,S30,Granule,9,62
V17970,S30,S30,Granule,9,62
V13729,S30,S30,Granule,9,62
V11786,S30,S30,Granule,9,62
V16273,S31,S31,Granule,9,63
V2169,S31,S1492,Granule,9,63
V7799,S32,S32,Fibroblast,9,64
V8922,S32,S32,Granule,9,64
V9363,S32,S32,Granule,9,64
V10433,S32,S1979,Granule,9,64
V6993,S33,S33,Granule,9,65
V10886,S33,S1469,Granule,9,65
V8816,S34,S34,Granule,9,68
V2553,S35,S35,Bergmann,9,83
V1083,S36,S36,Fibroblast,9,84
V7495,S37,S37,Granule,10,51
V8149,S37,S37,Pvalb,10,51
V8400,S37,S37,Granule,10,51
V18963,S37,S37,Bergmann,10,51
V13560,S38,S38,Fibroblast,10,52
V21433,S38,S38,Bergmann,10,52
V22205,S38,S38,Endothelial,10,52
V308,S39,S39,Bergmann,10,53
V471,S39,S39,Purkinje,10,53
V1553,S39,S39,Purkinje,10,53
V11804,S39,S39,Purkinje,10,53
V1206,S40,S40,Granule,10,54
V11688,S40,S40,Granule,10,54
V18145,S40,S40,Granule,10,54
V12577,S40,S40,Purkinje,10,54
V3200,S40,S40,Choroid,10,54
V17578,S40,S4542,Granule,10,54
V6533,S41,S41,Bergmann,10,55
V9937,S41,S41,Purkinje,10,55
V10574,S41,S41,Bergmann,10,55
V3163,S41,S41,Purkinje,10,55
V1998,S41,S41,Bergmann,10,55
V3363,S41,S911,Bergmann,10,55
V2004,S42,S42,Bergmann,10,56
V9618,S42,S42,Fibroblast,10,56
V19805,S42,S42,Granule,10,56
V9725,S42,S42,Bergmann,10,56
V6905,S42,S42,Fibroblast,10,56
V1559,S42,S42,Purkinje,10,56
V8925,S42,S42,Purkinje,10,56
V5497,S43,S43,Granule,10,57
V7246,S43,S43,Fibroblast,10,57
V15782,S43,S43,Granule,10,57
V21429,S43,S43,Granule,10,57
V20035,S43,S43,Nnat,10,57
V18285,S43,S43,Granule,10,57
V4735,S44,S44,Purkinje,10,58
V5222,S44,S44,Granule,10,58
V9490,S44,S44,Granule,10,58
V17609,S44,S44,Granule,10,58
V18708,S44,S44,Granule,10,58
V1248,S44,S44,Granule,10,58
V4818,S45,S45,Granule,10,59
V5007,S45,S45,Oligodendrocyte,10,59
V6222,S45,S45,Bergmann,10,59
V21321,S45,S45,Granule,10,59
V23097,S45,S45,Granule,10,59
V4843,S45,S45,Oligodendrocyte,10,59
V11729,S45,S45,Granule,10,59
V4380,S46,S46,Granule,10,60
V5042,S46,S46,Granule,10,60
V6539,S46,S46,Granule,10,60
V18262,S46,S46,Granule,10,60
V7165,S46,S46,Granule,10,60
V14772,S46,S46,Granule,10,60
V16536,S47,S47,Granule,10,61
V18048,S47,S47,Granule,10,61
V23160,S47,S47,Granule,10,61
V7156,S47,S47,Granule,10,61
V22918,S47,S47,Granule,10,61
V15140,S47,S47,Granule,10,61
V16648,S47,S47,Granule,10,61
V2272,S48,S48,Granule,10,62
V10655,S48,S48,Granule,10,62
V19222,S48,S48,Granule,10,62
V20810,S48,S48,Granule,10,62
V23166,S48,S48,Granule,10,62
V4647,S48,S48,Granule,10,62
V137,S49,S49,Granule,10,63
V9654,S49,S49,Granule,10,63
V10692,S49,S49,Granule,10,63
V3057,S49,S49,Granule,10,63
V15731,S49,S49,Granule,10,63
V22702,S49,S49,Granule,10,63
V23250,S49,S49,Fibroblast,10,63
V7450,S50,S50,Granule,10,64
V7687,S50,S50,Granule,10,64
V21015,S50,S50,Granule,10,64
V19205,S50,S50,Granule,10,64
V6566,S50,S50,Granule,10,64
V18375,S50,S50,Pvalb,10,64
V375,S51,S51,Granule,10,65
V12494,S51,S51,Pvalb,10,65
V15897,S51,S51,Granule,10,65
V6383,S51,S51,Granule,10,65
V11373,S51,S51,Granule,10,65
V6253,S51,S51,Granule,10,65
V2469,S52,S52,Granule,10,66
V2515,S53,S53,Granule,10,67
V14493,S53,S53,Granule,10,67
V20469,S53,S53,Granule,10,67
V3078,S54,S54,Granule,10,68
V14354,S55,S55,Granule,10,70
V21950,S56,S1358,Granule,10,71
V20596,S57,S57,Granule,10,73
V17053,S57,S1043,Granule,10,73
V2880,S58,S58,Choroid,11,48
V16590,S58,S58,Fibroblast,11,48
V21869,S58,S4329,Fibroblast,11,48
V1007,S59,S59,Granule,11,49
V5863,S59,S59,Granule,11,49
V16461,S59,S59,Pvalb,11,49
V17974,S59,S59,Bergmann,11,49
V16142,S59,S59,Granule,11,49
V200,S60,S60,Bergmann,11,50
V18344,S60,S60,Granule,11,50
V903,S60,S60,Purkinje,11,50
V5910,S60,S60,Bergmann,11,50
V7264,S61,S61,Bergmann,11,51
V9738,S61,S61,Fibroblast,11,51
V11821,S61,S61,Pvalb,11,51
V10246,S61,S61,Purkinje,11,51
V18905,S61,S61,Bergmann,11,51
V12270,S62,S62,Granule,11,52
V4381,S62,S62,Purkinje,11,52
V12750,S62,S62,Purkinje,11,52
V2065,S62,S2957,Purkinje,11,52
V1418,S63,S63,Choroid,11,53
V2737,S63,S63,Purkinje,11,53
V17329,S63,S63,Granule,11,53
V22186,S63,S63,Granule,11,53
V7523,S63,S63,Bergmann,11,53
V4934,S63,S63,Purkinje,11,53
V17896,S63,S3484,Purkinje,11,53
V626,S64,S64,Granule,11,54
V16415,S64,S64,Granule,11,54
V22569,S64,S64,Bergmann,11,54
V16996,S64,S64,Granule,11,54
V23300,S64,S64,Granule,11,54
V23047,S64,S64,Purkinje,11,54
V4279,S65,S65,Granule,11,55
V6442,S65,S65,Granule,11,55
V8662,S65,S65,Granule,11,55
V11532,S65,S65,Granule,11,55
V13536,S65,S1019,Granule,11,55
V8169,S66,S66,Granule,11,56
V12251,S66,S66,Granule,11,56
V21285,S66,S66,Granule,11,56
V7779,S66,S66,Granule,11,56
V1879,S67,S67,Granule,11,57
V6143,S67,S67,Granule,11,57
V6391,S67,S67,Granule,11,57
V15902,S67,S67,Granule,11,57
V17073,S67,S67,Oligodendrocyte,11,57
V14557,S67,S67,Granule,11,57
V14466,S67,S67,Granule,11,57
V1216,S68,S68,Granule,11,58
V2749,S68,S68,Granule,11,58
V7559,S68,S68,Granule,11,58
V16553,S68,S68,Granule,11,58
V14208,S68,S68,Astrocyte,11,58
V856,S69,S69,Granule,11,59
V9065,S69,S69,Granule,11,59
V17589,S69,S69,Granule,11,59
V12869,S69,S69,Granule,11,59
V9710,S70,S70,Granule,11,60
V9920,S70,S70,Granule,11,60
V14806,S70,S70,Granule,11,60
V15590,S70,S70,Granule,11,60
V19758,S70,S70,Granule,11,60
V20406,S71,S71,Granule,11,61
V22033,S71,S71,Granule,11,61
V9745,S71,S71,Oligodendrocyte,11,61
V9862,S71,S71,Granule,11,61
V510,S71,S71,Granule,11,61
V14645,S71,S71,Granule,11,61
V7133,S72,S72,Granule,11,62
V13231,S72,S72,Granule,11,62
V18700,S72,S72,Granule,11,62
V19759,S72,S72,Granule,11,62
V9505,S72,S72,Granule,11,62
V9623,S72,S72,Granule,11,62
V2002,S73,S73,Granule,11,63
V2890,S73,S73,Granule,11,63
V8692,S73,S73,Granule,11,63
V16676,S73,S73,Granule,11,63
V9780,S74,S74,Granule,11,64
V13114,S74,S74,Granule,11,64
V16240,S74,S74,Endothelial,11,64
V18425,S74,S74,Nnat,11,64
V20927,S74,S74,Granule,11,64
V22170,S74,S74,Nnat,11,64
V11124,S74,S3276,Granule,11,64
V1227,S75,S75,Nnat,11,65
V1808,S75,S75,Granule,11,65
V5951,S75,S75,Granule,11,65
V6916,S75,S75,Bergmann,11,65
V7447,S75,S75,Granule,11,65
V1448,S75,S75,Granule,11,65
V17889,S75,S75,Granule,11,65
V21587,S75,S75,Fibroblast,11,65
V1763,S76,S76,Granule,11,66
V14368,S76,S76,Granule,11,66
V18066,S76,S76,Granule,11,66
V18162,S76,S76,Granule,11,66
V6600,S76,S76,Granule,11,66
V3916,S76,S76,Granule,11,66
V15375,S76,S76,Granule,11,66
V6980,S77,S77,Granule,11,67
V19339,S77,S77,Granule,11,67
V21056,S77,S77,Granule,11,67
V20136,S77,S77,Granule,11,67
V11140,S77,S77,Granule,11,67
V16029,S77,S77,Granule,11,67
V7103,S78,S78,Bergmann,11,68
V7529,S78,S78,Granule,11,68
V10475,S78,S78,Granule,11,68
V21977,S78,S78,Granule,11,68
V6717,S78,S78,Fibroblast,11,68
V10461,S78,S78,Granule,11,68
V5106,S78,S78,Granule,11,68
V4643,S79,S79,Granule,11,69
V15568,S79,S79,Granule,11,69
V21944,S80,S80,Granule,11,70
V7696,S80,S3293,Granule,11,70
V295,S81,S967,Granule,11,71
V7865,S82,S82,Purkinje,12,46
V11444,S82,S82,Bergmann,12,46
V5452,S83,S83,Astrocyte,12,47
V9666,S83,S83,Bergmann,12,47
V1375,S83,S83,Choroid,12,47
V2104,S84,S84,Granule,12,48
V12313,S84,S84,Pvalb,12,48
V23363,S84,S84,Pvalb,12,48
V7694,S84,S84,Bergmann,12,48
V12954,S84,S84,Pvalb,12,48
V5248,S85,S85,Bergmann,12,49
V7806,S85,S85,Pvalb,12,49
V5135,S85,S85,Purkinje,12,49
V6044,S86,S86,Bergmann,12,50
V6085,S86,S86,Bergmann,12,50
V15202,S86,S86,Purkinje,12,50
V16528,S86,S86,Bergmann,12,50
V15587,S86,S86,Purkinje,12,50
V23280,S86,S86,Bergmann,12,50
V17459,S86,S4589,Bergmann,12,50
V23112,S87,S87,Bergmann,12,51
V14762,S87,S87,Purkinje,12,51
V21465,S87,S87,Purkinje,12,51
V18556,S87,S87,Purkinje,12,51
V11644,S87,S179,Purkinje,12,51
V18184,S87,S87,Purkinje,12,51
V8670,S88,S88,Purkinje,12,52
V11656,S88,S88,Granule,12,52
V18513,S88,S88,Purkinje,12,52
V2704,S89,S89,Granule,12,53
V4367,S89,S89,Granule,12,53
V5840,S89,S89,Granule,12,53
V21760,S89,S89,Granule,12,53
V723,S89,S89,Granule,12,53
V18268,S89,S89,Granule,12,53
V2355,S90,S90,Granule,12,54
V9517,S90,S90,Bergmann,12,54
V13609,S90,S90,Granule,12,54
V22058,S90,S90,Granule,12,54
V15594,S91,S91,Granule,12,55
V11209,S91,S91,Granule,12,55
V19060,S91,S91,Granule,12,55
V9385,S91,S91,Granule,12,55
V12424,S91,S91,Granule,12,55
V23017,S91,S91,Granule,12,55
V6436,S92,S92,Fibroblast,12,56
V9967,S92,S92,Granule,12,56
V21692,S92,S92,Granule,12,56
V9792,S92,S92,Granule,12,56
V15429,S92,S92,Granule,12,56
V7801,S92,S92,Bergmann,12,56
V15218,S92,S1558,Oligodendrocyte,12,56
V2730,S93,S93,Pvalb,12,57
V8358,S93,S93,Granule,12,57
V12765,S93,S93,Granule,12,57
V19020,S93,S93,Granule,12,57
V16020,S93,S93,Pvalb,12,57
V5001,S94,S94,Granule,12,58
V13017,S94,S94,Granule,12,58
V15677,S94,S94,Granule,12,58
V21426,S94,S94,Granule,12,58
V14795,S94,S94,Granule,12,58
V5378,S94,S94,Granule,12,58
V11421,S95,S95,Granule,12,59
V11505,S95,S95,Granule,12,59
V12766,S95,S95,Granule,12,59
V1516,S95,S95,Astrocyte,12,59
V4952,S95,S95,Bergmann,12,59
V18001,S95,S95,Granule,12,59
V14452,S95,S95,Pvalb,12,59
V3581,S95,S95,Granule,12,59
V1629,S96,S96,Granule,12,60
V2172,S96,S96,Granule,12,60
V6113,S96,S96,Granule,12,60
V5519,S97,S97,Granule,12,61
V12914,S97,S97,Granule,12,61
V22198,S97,S97,Granule,12,61
V7075,S97,S97,Granule,12,61
V17938,S97,S97,Granule,12,61
V10610,S98,S98,Granule,12,62
V10974,S98,S98,Granule,12,62
V14797,S98,S98,Granule,12,62
V17194,S98,S98,Granule,12,62
V19739,S98,S98,Granule,12,62
V10026,S98,S98,Granule,12,62
V14677,S98,S98,Granule,12,62
V8944,S98,S98,Granule,12,62
V8765,S99,S99,Oligodendrocyte,12,63
V14603,S99,S99,Granule,12,63
V15803,S99,S99,Granule,12,63
V22142,S99,S99,Granule,12,63
V21210,S99,S99,Granule,12,63
V3624,S99,S99,Fibroblast,12,63
V19767,S99,S99,Granule,12,63
V15596,S100,S100,Granule,12,64
V22461,S100,S100,Granule,12,64
V22770,S100,S100,Granule,12,64
V1390,S100,S100,Bergmann,12,64
V14143,S100,S100,Granule,12,64
V12722,S100,S100,Granule,12,64
V676,S101,S101,Granule,12,65
V6065,S101,S101,Granule,12,65
V15367,S101,S101,Granule,12,65
V16246,S101,S101,Granule,12,65
V5709,S101,S101,Granule,12,65
V6897,S102,S102,Endothelial,12,66
V9356,S102,S102,Granule,12,66
V17674,S102,S102,Endothelial,12,66
V12491,S102,S102,Granule,12,66
V8079,S102,S102,Granule,12,66
V9604,S102,S102,Granule,12,66
V1116,S103,S103,Granule,12,67
V7141,S103,S103,Granule,12,67
V15544,S103,S103,Granule,12,67
V15143,S103,S103,Granule,12,67
V7273,S103,S103,Granule,12,67
V20222,S103,S103,Granule,12,67
V8220,S104,S104,Granule,12,68
V9562,S104,S104,Granule,12,68
V20733,S104,S104,Granule,12,68
V21434,S104,S104,Granule,12,68
V6489,S104,S104,Granule,12,68
V17598,S104,S104,Granule,12,68
V1034,S105,S105,Granule,12,69
V6076,S105,S105,Microglia,12,69
V16060,S105,S105,Granule,12,69
V8631,S105,S105,Granule,12,69
V4233,S106,S106,Granule,12,70
V17322,S106,S106,Granule,12,70
V20806,S106,S106,Granule,12,70
V4842,S106,S106,Granule,12,70
V4671,S106,S106,Granule,12,70
V16947,S106,S106,Granule,12,70
V15987,S106,S106,Granule,12,70
V1426,S107,S3416,Granule,13,43
V324,S108,S108,Purkinje,13,44
V10466,S108,S108,Purkinje,13,44
V5395,S109,S109,Granule,13,45
V7901,S109,S109,Bergmann,13,45
V10186,S109,S109,Purkinje,13,45
V9930,S109,S109,Purkinje,13,45
V8256,S110,S110,Pvalb,13,46
V22959,S110,S110,Bergmann,13,46
V23336,S110,S110,Granule,13,46
V6457,S110,S110,Bergmann,13,46
V4972,S111,S111,Granule,13,47
V12391,S111,S111,Pvalb,13,47
V13366,S111,S111,Astrocyte,13,47
V3129,S111,S1076,Granule,13,47
V19000,S111,S786,Pvalb,13,47
V13091,S112,S112,Granule,13,48
V15317,S112,S112,Bergmann,13,48
V15745,S112,S112,Purkinje,13,48
V22322,S112,S112,Bergmann,13,48
V16325,S112,S112,Purkinje,13,48
V3424,S113,S113,Bergmann,13,49
V4273,S113,S113,Bergmann,13,49
V4513,S113,S113,Granule,13,49
V11401,S113,S113,Microglia,13,49
V21656,S113,S113,Bergmann,13,49
V22059,S113,S113,Granule,13,49
V3381,S113,S113,Purkinje,13,49
V2721,S114,S114,Granule,13,50
V6009,S114,S114,Granule,13,50
V21854,S114,S114,Granule,13,50
V22949,S114,S114,Granule,13,50
V3853,S115,S115,Granule,13,51
V6435,S115,S115,Granule,13,51
V12746,S115,S115,Granule,13,51
V17272,S115,S1136,Granule,13,51
V2947,S116,S116,Granule,13,52
V15198,S116,S116,Granule,13,52
V20058,S116,S116,Granule,13,52
V12785,S116,S116,Granule,13,52
V17150,S116,S94,Granule,13,52
V6138,S117,S117,Bergmann,13,53
V10745,S117,S117,Granule,13,53
V13438,S117,S117,Granule,13,53
V21908,S117,S117,Granule,13,53
V9728,S117,S117,Granule,13,53
V7414,S117,S117,Granule,13,53
V7124,S118,S118,Astrocyte,13,54
V8211,S118,S118,Granule,13,54
V15719,S118,S118,Granule,13,54
V21212,S118,S118,Granule,13,54
V5892,S118,S118,Granule,13,54
V17039,S118,S118,Granule,13,54
V19907,S118,S118,Astrocyte,13,54
V4552,S119,S119,Granule,13,55
V11537,S119,S119,Granule,13,55
V16332,S119,S119,Granule,13,55
V16695,S119,S119,Granule,13,55
V926,S119,S119,Granule,13,55
V1352,S119,S119,Granule,13,55
V19366,S119,S119,Pvalb,13,55
V466,S120,S120,Granule,13,56
V9533,S120,S120,Granule,13,56
V22240,S120,S120,Granule,13,56
V1582,S120,S120,Granule,13,56
V9995,S120,S120,Granule,13,56
V7312,S120,S120,Pvalb,13,56
V536,S121,S121,Granule,13,57
V4700,S121,S121,Granule,13,57
V18430,S121,S121,Oligodendrocyte,13,57
V15052,S121,S3111,Granule,13,57
V2217,S122,S122,Granule,13,58
V5703,S122,S122,Granule,13,58
V15224,S122,S122,Granule,13,58
V16041,S122,S122,Pvalb,13,58
V18408,S122,S122,Granule,13,58
V6171,S122,S122,Granule,13,58
V3382,S122,S122,Granule,13,58
V625,S123,S123,Granule,13,59
V1864,S123,S123,Granule,13,59
V5238,S123,S123,Granule,13,59
V20503,S123,S123,Granule,13,59
V9634,S123,S123,Granule,13,59
V8201,S123,S123,Granule,13,59
V6338,S124,S124,Granule,13,60
V8448,S124,S124,Granule,13,60
V12103,S124,S124,Granule,13,60
V21116,S124,S124,Granule,13,60
V22077,S124,S124,Granule,13,60
V13662,S124,S124,Granule,13,60
V1760,S125,S125,Granule,13,61
V2378,S125,S125,Oligodendrocyte,13,61
V11843,S125,S125,Fibroblast,13,61
V12054,S125,S125,Astrocyte,13,61
V10477,S125,S125,Granule,13,61
V12952,S125,S125,Granule,13,61
V1919,S125,S125,Oligodendrocyte,13,61
V2322,S125,S125,Granule,13,61
V11232,S126,S126,Granule,13,62
V11469,S126,S126,Granule,13,62
V20239,S126,S126,Granule,13,62
V8086,S126,S126,Granule,13,62
V8253,S126,S126,Granule,13,62
V14317,S126,S126,Granule,13,62
V520,S127,S127,Granule,13,63
V2140,S127,S127,Granule,13,63
V11317,S127,S127,Endothelial,13,63
V3738,S127,S127,Granule,13,63
V20044,S127,S127,Granule,13,63
V1222,S128,S128,Granule,13,64
V2262,S128,S128,Granule,13,64
V13112,S128,S128,Granule,13,64
V15461,S128,S128,Granule,13,64
V17312,S128,S128,Granule,13,64
V22282,S128,S128,Granule,13,64
V3745,S129,S129,Granule,13,65
V10768,S129,S129,Granule,13,65
V18253,S129,S129,Granule,13,65
V19408,S129,S129,Granule,13,65
V21417,S129,S129,Granule,13,65
V23260,S129,S129,Oligodendrocyte,13,65
V8207,S129,S129,Fibroblast,13,65
V11017,S130,S130,Granule,13,66
V16641,S130,S130,Granule,13,66
V6799,S130,S130,Granule,13,66
V2161,S130,S130,Granule,13,66
V1849,S130,S130,Granule,13,66
V20297,S130,S130,Granule,13,66
V4131,S131,S131,Granule,13,67
V11358,S131,S131,Fibroblast,13,67
V17151,S131,S131,Granule,13,67
V18520,S131,S131,Granule,13,67
V1143,S132,S132,Endothelial,13,68
V17699,S132,S132,Granule,13,68
V19193,S132,S132,Granule,13,68
V20703,S132,S132,Granule,13,68
V23214,S132,S132,Granule,13,68
V13359,S132,S132,Granule,13,68
V497,S133,S133,Endothelial,13,69
V2246,S133,S133,Granule,13,69
V15705,S133,S133,Granule,13,69
V17923,S133,S133,Granule,13,69
V22076,S133,S133,Granule,13,69
V2858,S133,S133,Granule,13,69
V5254,S133,S133,Granule,13,69
V5053,S134,S134,Granule,13,70
V11125,S134,S134,Granule,13,70
V14013,S134,S134,Granule,13,70
V16555,S134,S134,Granule,13,70
V18588,S134,S134,Granule,13,70
V8752,S135,S135,Granule,13,71
V14358,S135,S135,Pvalb,13,71
V19577,S135,S135,Granule,13,71
V20546,S135,S2263,Granule,13,71
V4731,S136,S136,Fibroblast,13,72
V13938,S136,S136,Granule,13,72
V20270,S137,S137,Granule,14,40
V22655,S137,S137,Granule,14,40
V1120,S138,S138,Astrocyte,14,41
V2187,S139,S139,Granule,14,42
V6674,S139,S139,Endothelial,14,42
V15292,S139,S139,Nnat,14,42
V11890,S139,S907,Granule,14,42
V5402,S139,S4306,Granule,14,42
V5690,S140,S140,Granule,14,43
V11006,S140,S140,Bergmann,14,43
V19786,S140,S140,Astrocyte,14,43
V4537,S140,S140,Bergmann,14,43
V6007,S141,S141,Pvalb,14,44
V10837,S141,S141,Pvalb,14,44
V20766,S141,S141,Granule,14,44
V7565,S142,S142,Bergmann,14,45
V10047,S142,S142,Bergmann,14,45
V15669,S142,S142,Bergmann,14,45
V16412,S142,S142,Bergmann,14,45
V14767,S142,S142,Bergmann,14,45
V22803,S142,S142,Bergmann,14,45
V4920,S142,S142,Purkinje,14,45
V3769,S143,S143,Purkinje,14,46
V12100,S143,S143,Bergmann,14,46
V15379,S143,S143,Purkinje,14,46
V15972,S143,S143,Bergmann,14,46
V3034,S143,S143,Purkinje,14,46
V12311,S143,S143,Purkinje,14,46
V22920,S143,S3155,Purkinje,14,46
V953,S144,S144,Granule,14,47
V4798,S144,S144,Granule,14,47
V23029,S144,S144,Purkinje,14,47
V929,S144,S144,Purkinje,14,47
V6659,S144,S144,Purkinje,14,47
V2961,S144,S144,Purkinje,14,47
V2889,S145,S145,Granule,14,48
V5073,S145,S145,Granule,14,48
V6729,S145,S145,Granule,14,48
V17164,S145,S145,Granule,14,48
V4303,S145,S145,Granule,14,48
V8763,S145,S145,Granule,14,48
V5837,S146,S146,Granule,14,49
V13686,S146,S146,Granule,14,49
V15516,S146,S146,Microglia,14,49
V20365,S146,S146,Granule,14,49
V4468,S146,S146,Granule,14,49
V11779,S146,S146,Granule,14,49
V14804,S147,S147,Granule,14,50
V15919,S147,S147,Granule,14,50
V22743,S147,S147,Granule,14,50
V21725,S147,S147,Granule,14,50
V11776,S147,S147,Granule,14,50
V11632,S147,S147,Granule,14,50
V14136,S147,S147,Granule,14,50
V1832,S148,S148,Bergmann,14,51
V4825,S148,S148,Granule,14,51
V16820,S148,S148,Granule,14,51
V18129,S148,S148,Granule,14,51
V15886,S148,S28,Granule,14,51
V1988,S149,S149,Granule,14,52
V10603,S149,S149,Granule,14,52
V21959,S149,S149,Granule,14,52
V1408,S150,S150,Granule,14,53
V3606,S150,S150,Pvalb,14,53
V10269,S150,S150,Granule,14,53
V21874,S150,S150,Granule,14,53
V15420,S150,S150,Granule,14,53
V1147,S151,S151,Granule,14,54
V11463,S151,S151,Granule,14,54
V16125,S151,S151,Granule,14,54
V20053,S151,S151,Granule,14,54
V547,S151,S151,Granule,14,54
V8294,S151,S151,Granule,14,54
V2598,S152,S152,Granule,14,55
V13650,S152,S152,Granule,14,55
V18011,S152,S152,Granule,14,55
V16012,S152,S152,Granule,14,55
V9117,S152,S152,Granule,14,55
V2575,S152,S152,Granule,14,55
V11121,S153,S153,Granule,14,56
V13413,S153,S153,Granule,14,56
V17349,S153,S153,Granule,14,56
V12639,S153,S153,Granule,14,56
V2606,S153,S153,Granule,14,56
V3950,S154,S154,Granule,14,57
V4895,S154,S154,Granule,14,57
V19704,S154,S154,Granule,14,57
V3113,S154,S154,Oligodendrocyte,14,57
V12705,S155,S155,Bergmann,14,58
V15212,S155,S155,Granule,14,58
V20662,S155,S155,Pvalb,14,58
V15753,S155,S155,Granule,14,58
V12413,S155,S155,Granule,14,58
V18468,S155,S155,Granule,14,58
V13955,S156,S156,Astrocyte,14,59
V18687,S156,S156,Granule,14,59
V20691,S156,S156,Granule,14,59
V19293,S157,S157,Granule,14,60
V6660,S157,S157,Endothelial,14,60
V6646,S157,S157,Granule,14,60
V22715,S157,S157,Granule,14,60
V15472,S157,S157,Granule,14,60
V3183,S157,S157,Granule,14,60
V413,S158,S158,Bergmann,14,61
V1689,S158,S158,Granule,14,61
V15925,S158,S158,Granule,14,61
V2691,S158,S4568,Granule,14,61
